Unspecified,,,,,,,,,,,
Unspecified,,,,,,,,,,,
Project,Project Title,Total Project Cost (KES),Funding Type,Funding Source,Start Date (Planned),Start Date (Actual),Duration (Months),Vision 2030 Flagship Ministry,MTEF Sector,Implementing Agency,Implementation Status
2011/052877,Construction And Rehabilitation Of Water Points,"40,200,000",GoK,Government of Kenya,07/01/2010,,35 months,Unspecified,Unspecified,128 - MRDA - Ewaso Ngiro North Dev. Authority (ENNDA),Ongoing
2011/052892,Ewaso Ng'Iro North River Catchment Conservation And Rehabilitation Project,"19,085,641",GoK; Unspecified,Government of Kenya,07/01/2010,07/01/2010,47 months,Unspecified,Unspecified,128 - MRDA - Ewaso Ngiro North Dev. Authority (ENNDA),Ongoing
2011/052916,Construction Of 2 &Nbsp;Boarder Police Stations And Patrol Bases,"400,000,000",GoK; Unspecified,Government of Kenya,07/01/2010,,11 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/052918,Construction Of Offices And Laboratory For School Of Hospitality And Tourism Management,"60,000,000",Unspecified,Government of Kenya,12/01/2010,12/01/2010,15 months,Unspecified,Unspecified,106 - Ministry of Education; 106 - MOES&T - Kenyatta University (KU),Ongoing
2011/052921,Extension Of The Dining Hall At The North Coast Beach Hotel,"30,000,000",Unspecified,Government of Kenya,09/01/2010,09/01/2010,3 months,Unspecified,Unspecified,106 - Ministry of Education; 106 - MOES&T - Kenyatta University (KU),Ongoing
2011/052956,Kangema Distric Headquarters,"30,000,000",GoK; Unspecified,Government of Kenya,07/01/2010,30/07/2010,24 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/052957,Construction Of New Offices At Ruiru District Headquarters,"6,000,000",GoK; Unspecified,Government of Kenya,07/01/2011,07/01/2011,11 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Planned
2011/052958,Construction Of Mathira East District Headquarters,"30,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,07/01/2009,36 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/052959,Construction Of New Offices At Mathioya District,"30,000,000",GoK; Unspecified,Government of Kenya,07/01/2010,07/01/2010,23 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2011/052960,Construction Of Nyeri South (Othaya) District Headquarters.,"60,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,07/01/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
